row_number(),Registration number,Reg_Num_f,Group_Number_f,Notes
598,33466,NA,NA,NA
599,33472,NA>33646>33721>31365>32213>27598>34836>22625>34250,NA>1>1>4>4>1>1>1>1,NA>NA>NA>NA>NA>NA>NA>NA>NA
600,33476,NA,NA,NA
601,33481,NA>33011>28837>12221>22006>21555>23569>24388;+28285>33011;+33033>33033;+33011,NA>6>10>6>6>2>2>2;+2 & 2>6;+2>2;+6,"NA>Boa iQ co-pack>For use in Liberty Link Canola>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans>For use in canola>For use in canola>For use in creeping red fescue>Do not spray Anaconda if temperatures of 50C or lower are forecasted within 3 days before or after application; Do not graze treated field pea or harvest for forage or hay.>Do not spray Anaconda if temperatures of 50C or lower are forecasted within 3 days before or after application; Do not graze treated field pea or harvest for forage or hay."
602,33500,NA,NA,NA
603,33501,NA>33869>34489>9528;+34489>14725;+34489>28296;+34489>33921;+34489,NA>14 & 15>9>4;+9>4;+9>4;+9>4;+9,NA>NA>NA>NA>NA>NA>NA
604,33502,NA,NA,NA
605,33520,NA>25511>30055>29089>29711>30914>25118>23545>33114>23957>33370>34173>9516>9853>14730>20308>27858>30461>20329>27054>27860>30462>34299>9528>14725>28296>33921>9560>27818>27819>27820>29007>29264>29979>30460>31698>32294>32882>33111>33929>34240>34808>34813>34857>32602>33258>32952>32952;+33114>25118;+29089>25118;+29711>25118;+25511>25118;+30055>29973;+29972>29089;+23957>29711;+23957>33114;+32952>34173;+30055>30462;+32952;+33114>29711;+32952;+33114>30055;+32952;+33114>28642;+32952;+33114>32952;+30462;+33114>32952;+29711;+33114>32952;+30055;+33114>32952;+28642;+33114>33114;+30462;+32952>33114;+29711;+32952>33114;+30055;+32952>33114;+28642;+32952>25511;+20329>25511;+27054>25511;+27860>25511;+30462>25511;+34299>30055;+20329>30055;+27054>30055;+27860>30055;+30462>30055;+34299>29089;+20329>29089;+27054>29089;+27860>29089;+30462>29089;+34299>29711;+20329>29711;+27054>29711;+27860>29711;+30462>29711;+34299>23545;+20329>23545;+27054>23545;+27860>23545;+30462>23545;+34299>33114;+20329>33114;+27054>33114;+27860>33114;+30462>33114;+34299>23545;+9560>33114;+9560>33370;+5931>33370;+9528>33370;+14725>33370;+14726>33370;+17511>33370;+26163>33370;+28271>33370;+28296>33370;+31332>33370;+33920>33370;+33921>33370;+6330>33370;+9560>32602;+5931>32602;+9528>32602;+14725>32602;+14726>32602;+17511>32602;+26163>32602;+28271>32602;+28296>32602;+31332>32602;+33920>32602;+33921>32602;+6330>32602;+9560>33258;+5931>33258;+9528>33258;+14725>33258;+14726>33258;+17511>33258;+26163>33258;+28271>33258;+28296>33258;+31332>33258;+33920>33258;+33921>33258;+6330>33258;+9560>34173;+29488>34173;+29615>6330;+32952>9560;+32952>27818;+32952>27819;+32952>27820;+32952>29007;+32952>29264;+32952>29979;+32952>30460;+32952>31698;+32952>32294;+32952>32882;+32952>33111;+32952>33929;+32952>34240;+32952>34808;+32952>34813;+32952>34857;+32952>20329;+33114>27054;+33114>27860;+33114>30462;+33114>34299;+33114>27802;+33114>27803;+33114>27804;+33114>29001;+33114>29002;+33114>29622;+33114>31669;+33114>32311;+33114>32912;+33114>34073;+33114>34156;+33114>34293;+33114>34294;+33114>29165;+33114>6330;+33114>9560;+33114>27818;+33114>27819;+33114>27820;+33114>29007;+33114>29264;+33114>29979;+33114>30460;+33114>31698;+33114>32294;+33114>32882;+33114>33111;+33114>33929;+33114>34240;+33114>34808;+33114>34813;+33114>34857;+33114>5931;+33370>9528;+33370>14725;+33370>14726;+33370>17511;+33370>26163;+33370>28271;+33370>28296;+33370>31332;+33370>33920;+33370>33921;+33370>6330;+33370>9560;+33370>27818;+33370>27819;+33370>27820;+33370>29007;+33370>29264;+33370>29979;+33370>30460;+33370>31698;+33370>32294;+33370>32882;+33370>33111;+33370>33929;+33370>34240;+33370>34808;+33370>34813;+33370>34857;+33370>32602;+32952;+33114>33258;+32952;+33114>28887;+32952;+33114>31916;+32952;+33114>29855;+32952;+33114>31673;+32952;+33114>31674;+32952;+33114>32952;+32602;+33114>32952;+33258;+33114>32952;+28887;+33114>32952;+31916;+33114>32952;+29855;+33114>32952;+31673;+33114>32952;+31674;+33114>33114;+32602;+32952>33114;+33258;+32952>33114;+28887;+32952>33114;+31916;+32952>33114;+29855;+32952>33114;+31673;+32952>33114;+31674;+32952,NA>1>1>1>1>4 & 4>4>4>4>4>2>6 & 4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>2>2>4>4;+4>4;+1>4;+1>4;+1>4;+1>4;+4>1;+4>1;+4>4;+4>6 & 4;+1>4;+4;+4>1;+4;+4>1;+4;+4>1;+4;+4>4;+4;+4>4;+1;+4>4;+1;+4>4;+1;+4>4;+4;+4>4;+1;+4>4;+1;+4>4;+1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>1;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>2;+4>6 & 4;+1>6 & 4;+1>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+4>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2>2;+4;+4>2;+4;+4>2;+4;+4>2;+4;+4>1 & 1;+4;+4>4 & 4;+4;+4>1 & 1;+4;+4>4;+2;+4>4;+2;+4>4;+2;+4>4;+2;+4>4;+1 & 1;+4>4;+4 & 4;+4>4;+1 & 1;+4>4;+2;+4>4;+2;+4>4;+2;+4>4;+2;+4>4;+1 & 1;+4>4;+4 & 4;+4>4;+1 & 1;+4,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
606,33523,NA,NA,NA
607,33524,NA,NA,NA
